seed,standardization_silhouette,normalization_silhouette
0,0.7101499670044746,0.7630761571821666
1,0.6481683222370124,0.7630761571821666
2,0.7101499670044746,0.7630761571821666
3,0.7101499670044746,0.7101919541594942
4,0.7101499670044746,0.7630761571821666
5,0.7101499670044746,0.7630761571821666
6,0.6734085128365288,0.7630761571821666
7,0.7101499670044746,0.7630761571821666
8,0.7101499670044746,0.7630666964241664
9,0.7101499670044746,0.7630666964241664
10,0.7101499670044746,0.7630761571821666
11,0.7101499670044746,0.7630666964241664
12,0.6741346971692471,0.7630666964241664
13,0.7101499670044746,0.7630761571821666
14,0.6820766723130294,0.7096103341865683
15,0.7101499670044746,0.7630761571821666
16,0.7101499670044746,0.7630761571821666
17,0.6481683222370124,0.7630761571821666
18,0.6763717924176466,0.7630761571821666
19,0.7101499670044746,0.7630761571821666
20,0.7101499670044746,0.7630666964241664
21,0.7101499670044746,0.7630761571821666
22,0.7101499670044746,0.7630666964241664
23,0.6481683222370124,0.7630666964241664
24,0.7101499670044746,0.7022510695299452
25,0.6578361248871557,0.7630761571821666
26,0.7101499670044746,0.7630666964241664
27,0.7101499670044746,0.7630761571821666
28,0.7101499670044746,0.7630761571821666
29,0.7101499670044746,0.6968033066208923
30,0.6578361248871557,0.7630761571821666
31,0.7101499670044746,0.7630761571821666
32,0.6610164511802771,0.7630761571821666
33,0.7101499670044746,0.7630761571821666
34,0.7101499670044746,0.7630666964241664
35,0.6734085128365288,0.7630761571821666
36,0.6748703823194601,0.7630761571821666
37,0.7101499670044746,0.7630761571821666
38,0.6842061349079606,0.7630761571821666
39,0.7101499670044746,0.7630666964241664
40,0.7101499670044746,0.7630761571821666
41,0.660138339387167,0.7630666964241664
42,0.7101499670044746,0.6968033066208923
43,0.7101499670044746,0.7630761571821666
44,0.7101499670044746,0.7630761571821666
45,0.6842061349079606,0.7096103341865683
46,0.7101499670044746,0.7096103341865683
47,0.7101499670044746,0.7630666964241664
48,0.6842061349079606,0.7630761571821666
49,0.7101499670044746,0.7630761571821666
50,0.7101499670044746,0.7630761571821666
51,0.7101499670044746,0.7630666964241664
52,0.6480847408087901,0.7630761571821666
53,0.7101499670044746,0.7630761571821666
54,0.7101499670044746,0.7630761571821666
55,0.7101499670044746,0.7630761571821666
56,0.6842154997227403,0.7630761571821666
57,0.7101499670044746,0.7630761571821666
58,0.7101499670044746,0.7630761571821666
59,0.7101499670044746,0.7630666964241664
60,0.7101499670044746,0.7630761571821666
61,0.7101499670044746,0.7630761571821666
62,0.6480847408087901,0.7630761571821666
63,0.7101499670044746,0.7630761571821666
64,0.7101499670044746,0.7630761571821666
65,0.7101499670044746,0.7630666964241664
66,0.7101499670044746,0.7630761571821666
67,0.6734085128365288,0.7630761571821666
68,0.7101499670044746,0.7630666964241664
69,0.7101499670044746,0.7630761571821666
70,0.7101499670044746,0.7630666964241664
71,0.6751530401343724,0.7630666964241664
72,0.7101499670044746,0.7630761571821666
73,0.6751530401343724,0.7630761571821666
74,0.6820766723130294,0.7630761571821666
75,0.6751530401343724,0.7630761571821666
76,0.7101499670044746,0.7630761571821666
77,0.7101499670044746,0.7630761571821666
78,0.7101499670044746,0.7630761571821666
79,0.7101499670044746,0.7630761571821666
80,0.6842061349079606,0.7630761571821666
81,0.7101499670044746,0.7630761571821666
82,0.7101499670044746,0.7630761571821666
83,0.7101499670044746,0.7630666964241664
84,0.7101499670044746,0.7630761571821666
85,0.7101499670044746,0.7630666964241664
86,0.7101499670044746,0.7630761571821666
87,0.6615289519916755,0.7630761571821666
88,0.7101499670044746,0.7630761571821666
89,0.7101499670044746,0.7630666964241664
90,0.7101499670044746,0.6968033066208923
91,0.6820766723130294,0.7630761571821666
92,0.7101499670044746,0.7630761571821666
93,0.6820766723130294,0.7630761571821666
94,0.6578361248871557,0.7017776687721661
95,0.7101499670044746,0.7630761571821666
96,0.7101499670044746,0.7630761571821666
97,0.6820766723130294,0.7630761571821666
98,0.7101499670044746,0.7630761571821666
99,0.7101499670044746,0.7630666964241664
