total_sessions,username_entropy,password_entropy,command_entropy,cluster_id
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
1.2772207676096813e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.0,0.0,0.9481083009966558,1
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
1.2772207676096813e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
8.94054537326777e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.1632471508144645,0.21976823100999837,0.2049573351433958,0
1.2772207676096813e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.10883143387630967,0.10988411550499919,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
7.663324605658088e-05,0.1724937415936649,0.21079024100200228,0.22319314489151232,0
2.5544415352193626e-05,0.10883143387630967,0.10988411550499919,0.9481083009966558,1
5.108883070438725e-05,0.0,0.0,0.9646247234928927,1
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.0,0.0,0.9481083009966558,1
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
7.663324605658088e-05,0.1724937415936649,0.21079024100200228,0.22319314489151232,0
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
0.0006641547991570343,0.3587174604915394,0.4752264704332088,0.0,4
5.108883070438725e-05,0.0,0.0,0.9646247234928927,1
2.5544415352193626e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
6.386103838048407e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
3.831662302829044e-05,0.0,0.10988411550499919,0.22319314489151232,0
2.5544415352193626e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.10883143387630967,0.10988411550499919,0.22319314489151232,0
3.831662302829044e-05,0.0,0.0,0.9646247234928927,1
1.2772207676096813e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
1.2772207676096813e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.0,0.0,0.3537527650710707,0
6.386103838048407e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
5.108883070438725e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
1.2772207676096813e-05,0.0,0.0,0.0,2
6.386103838048407e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
1.2772207676096813e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
1.2772207676096813e-05,0.0,0.0,0.0,2
0.00016603869978925858,0.10883143387630967,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
1.2772207676096813e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.0,0.0,0.0,2
0.00037039402260680756,0.45085210188265956,0.4552130085435727,0.22319314489151232,3
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.1724937415936649,0.10090612549700308,0.0,2
5.108883070438725e-05,0.1724937415936649,0.10090612549700308,0.0,2
7.663324605658088e-05,0.0999394523427918,0.10090612549700308,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.1724937415936649,0.10090612549700308,0.0,2
2.5544415352193626e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
8.94054537326777e-05,0.1632471508144645,0.21976823100999837,0.9547339955938489,1
7.663324605658088e-05,0.1632471508144645,0.21976823100999837,0.22319314489151232,0
2.5544415352193626e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
1.2772207676096813e-05,0.0,0.0,0.0,2
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
3.831662302829044e-05,0.0999394523427918,0.17416220250033587,0.22319314489151232,0
7.663324605658088e-05,0.0999394523427918,0.21079024100200228,0.22319314489151232,0
1.2772207676096813e-05,0.0,0.0,0.0,2
0.0001021776614087745,0.0,0.0,0.0,2
3.831662302829044e-05,0.0,0.0,0.0,2
5.108883070438725e-05,0.0,0.0,0.0,2
